author,fname,lname,gender,pubtitle,date,id
"London, Bonita",Bonita, London,female,Psychological science,2013,1464
"London, Bonita",Bonita,London,female,Journal of Social Issues,2011,1933
"London, Bonita",Bonita, London,female,Sex Roles,2011,1805
"Oppenheimer, Bonnie",Bonnie, Oppenheimer,female,JCOM: Journal of Science Communication,2009,1563
"Richley, Bonnie",Bonnie, Richley,female,"Community, Work & Family",2013,1216
"Eledge, Bradley",Bradley, Eledge,male,PLoS ONE,2018,1169
"Geisinger, Brandi",Brandi,Geisinger,female,International Journal of Engineering Education,2013,494
"Hill, Brandon",Brandon, Hill,male,Journal of Science Education and Technology,2017,1665
"Dupont, Brandon",Brandon, Dupont,male,Journal of Economic Psychology,2008,577
"Brand, Brenda",Brenda,Brand,female,Insights on Learning Disabilities,2014,966
"Capobianco, Brenda",Brenda, Capobianco,female,Journal of Women and Minorities in Science and Engineering,2017,407
"Nachman, Brett",Brett, Nachman,male,Frontiers in Psychology,2017,722
"Jones, Brett",Brett,Jones,male,Social Psychology of Education,2013,1828
"Rubineau, Brian",Brian, Rubineau,male,Work and Occupations,2018,1556
"Rubineau, Brian",Brian, Rubineau,male,American Sociological Review,2011,1323
"Nosek, Brian",Brian, Nosek,male,Frontiers in psychology,2015,755
"Cash, Brian",Brian, Cash,male,Frontiers in Psychology,2017,739
"Timmerman, Briana",Briana, Timmerman,female,Council on Undergraduate Research Quarterly,2011,490
"Struthers, Brice",Brice, Struthers,male,Community College Journal of Research & Practice,2016,1205
"Miller, Bridget",Bridget, Miller,female,Journal of experimental child psychology,2017,580
"Gorman, Bridget",Bridget, Gorman,female,"Gender, Work and Organization",2017,1916
"Bloodhart, Brittany",Brittany, Bloodhart,female,PLoS ONE,2017,1143
"Killion, Brooke",Brooke, Killion,female,Journal of Research in Science Teaching,2016,889
"Dresden, Brooke",Brooke,Dresden,female,Social Sciences,2018,1013
"Jones, Bryan",Bryan, Jones,male,Communications of the Association for Information Systems,2018,837
"Minasny, Budiman",Budiman, Minasny,NA,Journal of Soil and Water Conservation,2008,1576
"Price, C. Aaron",C. Aaron,Price,NA,Applied Developmental Science,2018,1104
"Ozaki, C. Casey",C. Casey, Ozaki,NA,NASPA Journal About Women in Higher Education,2017,1291
"Handron, Caitlin",Caitlin, Handron,female,Sex Roles,2013,1810
"Anicha, Cali",Cali, Anicha,female,Journal of Women and Minorities in Science and Engineering,2012,388
"Sublett, Cameron",Cameron,Sublett,male,Teachers College Record,2017,501
"Fabiyi, Camille",Camille, Fabiyi,female,Journal of Science Education and Technology,2017,1662
"Bilen-Green, Canan",Canan, Bilen-Green,male,Journal of Women and Minorities in Science and Engineering,2012,386
"Margherio, Cara",Cara, Margherio,female,Social Sciences,2018,996
"Guest, Carly",Carly,Guest,female,Gender & Education,2016,1233
"Rodríguez, Carmen",Carmen, Rodríguez,female,Journal of vocational behavior,2013,606
"Domingo, Carmen",Carmen, Domingo,female,ACM Conference on Innovation and Technology in Computer Science Education,2018,348
"Astorne-Figari, Carmen",Carmen,Astorne-Figari,female,Economics Letters,2018,550
"Muller, Carol",Carol, Muller,female,Journal of Social Issues,2011,1941
"Colatrella, Carol",Carol,Colatrella,female,Academe,2014,30
"Newall, Carol",Carol,Newall,female,Contemporary Educational Psychology,2018,542
"Marchetti, Carol",Carol, Marchetti,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,326
"Marchetti, Carol",Carol, Marchetti,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,243
"Wright, Carol",Carol, Wright,female,Harvard Educational Review,2011,779
"Feghali-Bostwick, Carol",Carol, Feghali-Bostwick,female,Social Sciences,2018,998
"Schuster, Carolin",Carolin,Schuster,NA,Sex Roles,2016,1784
"Milesi, Carolina",Carolina,Milesi,female,Frontiers in Psychology,2017,741
"Pola, Carolina",Carolina, Pola,female,Cell Stem Cell,2015,470
"Roughneen, Caroline",Caroline, Roughneen,female,International Journal of Evidence Based Coaching & Mentoring,2011,1054
"Parker, Caroline",Caroline, Parker,female,Journal of Science Education and Technology,2016,1682
"Seron, Caroll",Caroll, Seron,NA,American Sociological Review,2011,1325
"Matheus, Carolyn",Carolyn,Matheus,female,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,820
"Allen, Carrie",Carrie,Allen,female,Journal of the Learning Sciences,2017,1286
"Stephens, Carrie",Carrie, Stephens,female,Journal of Agricultural Education,2013,18
"Seron, Carroll",Carroll,Seron,male,Work and Occupations,2018,1553
"Block, Caryn",Caryn,Block,female,Journal of Vocational Behavior,2018,612
"George-Jackson, Casey",Casey, George-Jackson,male,New Directions for Student Services,2013,954
"George-Jackson, Casey",Casey, George-Jackson,male,Journal of College Student Development,2016,1857
